ID_Cidade,Continente
612,North America
614,North America
617,North America
618,North America
619,North America
620,North America
625,North America
627,North America
631,North America
633,North America
642,North America
643,North America
644,North America
645,North America
647,North America
652,North America
653,North America
658,North America
660,North America
665,North America
667,North America
668,North America
670,North America
671,North America
675,North America
677,North America
678,North America
682,North America
686,North America
688,North America
689,North America
690,North America
691,North America
693,North America
694,North America
695,North America
701,North America
703,North America
707,North America
782,North America
783,North America
784,North America
785,North America
786,North America
787,North America
788,North America
789,North America
790,North America
791,North America
792,North America
793,North America
794,North America
795,North America
796,North America
797,North America
798,North America
799,North America
800,North America
801,North America
802,North America
803,North America
804,North America
805,North America
806,North America
807,North America
808,North America
809,North America
810,North America
811,North America
812,North America
813,North America
814,North America
815,North America
816,North America
817,North America
818,North America
819,North America
820,North America
821,North America
822,North America
823,North America
824,North America
825,North America
826,North America
827,North America
828,North America
829,North America
830,North America
831,North America
832,North America
833,North America
834,North America
835,North America
836,North America
837,North America
838,North America
839,North America
840,North America
841,North America
842,North America
843,North America
844,North America
845,North America
846,North America
847,North America
848,North America
849,North America
850,North America
851,North America
852,North America
853,North America
854,North America
855,North America
856,North America
857,North America
858,North America
859,North America
860,North America
861,North America
862,North America
863,North America
864,North America
865,North America
866,North America
867,North America
868,North America
869,North America
870,North America
871,North America
872,North America
873,North America
874,North America
875,North America
876,North America
877,North America
878,North America
879,North America
880,North America
881,North America
882,North America
883,North America
884,North America
885,North America
886,North America
887,North America
888,North America
889,North America
890,North America
891,North America
892,North America
893,North America
894,North America
895,North America
896,North America
897,North America
898,North America
899,North America
900,North America
901,North America
902,North America
903,North America
904,North America
905,North America
906,North America
907,North America
908,North America
909,North America
910,North America
911,North America
912,North America
913,North America
914,North America
915,North America
916,North America
917,North America
918,North America
919,North America
920,North America
921,North America
922,North America
923,North America
924,North America
925,North America
926,North America
927,North America
928,North America
929,North America
930,North America
931,North America
932,North America
933,North America
934,North America
935,North America
936,North America
937,North America
938,North America
939,North America
940,North America
941,North America
942,North America
943,North America
944,North America
945,North America
946,North America
947,North America
948,North America
949,North America
950,North America
951,North America
952,North America
